DrugCombination_ID	Components_Name	Componets_ID
DC006623	Capecitabine; Dexamethasone; Floxuridine; Oxaliplatin	DCC0120/DCC0295/DCC0325/DCC1245
DC006625	Amodiaquine; Pyrimethamine; Sulfalene	DCC0023/DCC0146/DCC1347
DC006697	Follitropin alpha; Triptorelin	DCC0603/DCC0834
DC006701	Insulin glargine; Metformin; Sitagliptin	DCC0057/DCC0333/DCC1133
DC006725	Azathioprine; Cyclophosphamide; Methylprednisolone; Prednisone	DCC0123/DCC0156/DCC1454/DCC1468
DC006726	Carboplatin; Paclitaxel; Zibotentan	DCC0245/DCC0323/DCC0652
DC006727	Canfosfamide; Doxorubicin	DCC0259/DCC0620
DC006742	Liraglutide; Metformin; Sitagliptin	DCC0057/DCC0333/DCC1690
DC006745	Lithium; Verapamil	DCC0165/DCC1574
DC006753	Montelukast; Prednisolone	DCC0099/DCC0216
DC006759	Capecitabine; Docetaxel; Epirubicin	DCC0096/DCC0295/DCC0329
DC006767	Didanosine; Efavirenz; Lamivudine	DCC0150/DCC0179/DCC0228
DC006803	Fotemustine; Ipilimumab	DCC0787/DCC1628
DC006815	Eptifibatide; Heparin	DCC0296/DCC1142
DC006823	Capecitabine; Lapatinib; Oxaliplatin	DCC0120/DCC0295/DCC0332
DC006837	Paromomycin; Sodium stibogluconate	DCC1587/DCC1659
DC006842	Interferon alfa-2a; Ribavirin; Sofosbuvir	DCC0203/DCC0545/DCC1127
DC006847	Cisplatin; Dexamethasone; Folic acid; Vitamin B12CN	DCC0013/DCC0117/DCC0325/DCC1183
DC006853	Diclofenac; Omeprazole	DCC0061/DCC0138
DC006857	Cediranib; Olaparib	DCC0723/DCC0932
DC006861	Interferon alfa-2b; Ribavirin; Sofosbuvir	DCC0203/DCC0545/DCC1165
DC006864	Fluticasone Propionate; Omalizumab	DCC0139/DCC1131
DC006430	Bupropion; Escitalopram	DCC0306/DCC1524
DC006457	Clopidogrel; Paclitaxel	DCC0323/DCC1390
DC006475	Buprenorphine; Naltrexone	DCC0177/DCC0236
DC006476	Aripiprazole; Valproic Acid	DCC0048/DCC1546
DC006480	Capecitabine; Irinotecan; Oxaliplatin	DCC0120/DCC0189/DCC0295
DC006495	Lamivudine; Nelfinavir	DCC0179/DCC1209
DC006509	Dasatinib; Docetaxel	DCC0329/DCC0330
DC006524	Everolimus; Exemestane	DCC0348/DCC1466
DC006553	Irbesartan; Ramipril	DCC0015/DCC0270
DC006554	Brentuximab vedotin; Ketoconazole	DCC1478/DCC1728
DC006569	Atorvastatin; Rosuvastatin	DCC0290/DCC0294
DC006572	Ceftriaxone; Linezolid	DCC0144/DCC0319
DC005715	Carboplatin; Enzastaurin; Pemetrexed	DCC0158/DCC0245/DCC0634
DC005732	Cholecalciferol; Phenylbutyrate sodium	DCC0635/DCC0887
DC005733	Melphalan; Prednisolone; Thalidomide	DCC0216/DCC0277/DCC0278
DC005743	Bevacizumab; Cisplatin; Gemcitabine	DCC0012/DCC0094/DCC0117
DC005750	Aliskiren; Losartan	DCC0169/DCC0331
DC005752	Brentuximab vedotin; Rifampin	DCC0280/DCC1728
DC005757	Nitazoxanide; Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203/DCC1302
DC005773	Cinacalcet; Paricalcitol	DCC1437/DCC1473
DC005774	Interferon beta 1a; Simvastatin	DCC0157/DCC1140
DC005783	Deferasirox; Deferoxamine	DCC1384/DCC1599
DC005784	Itraconazole; Ticlopidine	DCC1203/DCC1521
DC005791	Methotrexate; Ocrelizumab	DCC0131/DCC0868
DC005802	Buprenorphine; Heroin; Naloxone	DCC0236/DCC0312/DCC1590
DC005804	Clofarabine; Cyclophosphamide; Etoposide	DCC0123/DCC0153/DCC0191
DC005818	Leuprolide acetate; Progestrone	DCC1112/DCC1267
DC005839	Artesunate; Azithromycin	DCC0024/DCC0464
DC005840	Capecitabine; Cisplatin; Fluorouracil; Trastuzumab	DCC0008/DCC0117/DCC0128/DCC0295
DC005843	Carboplatin; Etoposide; Irinotecan; Oxaliplatin	DCC0120/DCC0189/DCC0191/DCC0245
DC005861	Abiraterone acetate; Prednisone	DCC0156/DCC0613
DC005864	Aspirin; Niacin	DCC0152/DCC0240
DC005871	Lithium carbonate; Riluzole	DCC0818/DCC1380
DC005878	Naloxone; Oxycodone	DCC0112/DCC0312
DC005894	Peginterferon alfa-2a; Ribavirin; Sofosbuvir	DCC0002/DCC0203/DCC0545
DC005921	Nitrofurantoin; Sulfamethoxazole; Trimethoprim	DCC0093/DCC0176/DCC0266
DC005938	Artesunate; Chloroquine	DCC0464/DCC1333
DC005946	Clopidogrel; Zotarolimus	DCC0684/DCC1390
DC005954	Bortezomib; Methotrexate; Tacrolimus	DCC0016/DCC0131/DCC0218
DC005959	Gemcitabine; Tegafur	DCC0094/DCC0403
DC005981	Ezetimibe; Niacin; Simvastatin	DCC0152/DCC0157/DCC0250
DC005998	Bevacizumab; Capecitabine; Irinotecan	DCC0012/DCC0189/DCC0295
DC006001	Bevacizumab; Fotemustine	DCC0012/DCC1628
DC006002	Ciprofloxacin; Sulfamethoxazole; Trimethoprim	DCC0093/DCC0124/DCC0266
DC006019	Losartan; Nebivolol	DCC0169/DCC1641
DC006066	Cytarabine; Imatinib; Interferon alfa-2b	DCC0148/DCC0256/DCC1165
DC006074	Dorzolamide; Prostaglandin; Timolol	DCC0072/DCC0219/DCC1613
DC006079	Glimepiride; Insulin aspart; Metformin	DCC0027/DCC0057/DCC1567
DC006083	Capecitabine; Cisplatin; Epirubicin	DCC0096/DCC0117/DCC0295
DC006098	Basiliximab; Cyclosporine; Everolimus	DCC0011/DCC0348/DCC1149
DC006104	Fluticasone Propionate; Montelukast	DCC0099/DCC0139
DC006113	Etoposide; Tipifarnib	DCC0191/DCC0410
DC006115	Cisplatin; Gefitinib; Pemetrexed	DCC0050/DCC0117/DCC0158
DC006118	Risperidoene; Tropisetron	DCC1021/DCC1376
DC006122	Aflibercept; Dexamethasone; Docetaxel	DCC0325/DCC0329/DCC1736
DC006126	Sorafenib; Sunitinib	DCC0079/DCC0336
DC006130	Cyclophosphamide; Doxorubicin; Lapatinib; Paclitaxel; Trastuzumab	DCC0008/DCC0123/DCC0259/DCC0323/DCC0332
DC006131	Memantine; Vitamin d	DCC1182/DCC1481
DC006144	Fenofibrate; Lovaza	DCC0276/DCC0859
DC006145	Mycophenolate mofetil; Tacrolimus	DCC0173/DCC0218
DC006156	Calcium; Vitamin d; Zoledronate	DCC0080/DCC1182/DCC1577
DC006178	Exemestane; Tamoxifen	DCC0168/DCC1466
DC006181	Lamotrigine; Paroxetine	DCC0129/DCC1367
DC007200	Aspirin; Propoxyphene hydrochloride	DCC0160/DCC0240
DC007201	Atropine sulfate; Difenoxin hydrochloride	DCC0135/DCC1819
DC007202	Atropine sulfate; Edrophonium chloride	DCC0135/DCC1822
DC007203	Atropine sulfate; Meperidine hydrochloride	DCC0135/DCC1284
DC007204	Azatadine maleate; Pseudoephedrine sulfate	DCC0214/DCC1810
DC007205	Azelastine hydrochloride; Fluticasone propionate	DCC0139/DCC1459
DC007206	Azithromycin dihydrate; Trovafloxacin mesylate	DCC0024/DCC1857
DC007208	Bacitracin zinc; Lidocaine; Neomycin sulfate; Polymyxin b sulfate	DCC0040/DCC0151/DCC0193/DCC0257
DC007212	Betaxolol hydrochloride; Chlorthalidone	DCC0047/DCC1811
DC007213	Betaxolol hydrochloride; Pilocarpine hydrochloride	DCC1491/DCC1811
DC007214	Bismuth subcitrate potassium; Metronidazole; Tetracycline	DCC0187/DCC0235/DCC1010
DC007215	Bromodiphenhydramine hydrochloride; Codeine phosphate	DCC0051/DCC1812
DC007216	Calcium carbonate; Famotidine; Magnesium hydroxide	DCC0237/DCC1579/DCC1705
DC007217	Calcium carbonate; Risedronate sodium	DCC1425/DCC1705
DC007218	Calcium; meglumine; Metrizoic acid	DCC0863/DCC1577/DCC1840
DC007219	Ceftriaxone sodium; Lidocaine	DCC0040/DCC0319
DC007220	Chloramphenicol; Desoxyribonuclease; Fibrinolysin	DCC1813/DCC1817/DCC1827
DC007221	Chloramphenicol; Hydrocortisone acetate	DCC0184/DCC1813
DC007222	Chloramphenicol; Hydrocortisone acetate; Polymyxin b sulfate	DCC0184/DCC0193/DCC1813
DC007223	Chloramphenicol; Polymyxin b sulfate	DCC0193/DCC1813
DC007224	Chloramphenicol; Prednisolone	DCC0216/DCC1813
DC007225	Chlordiazepoxide; Estrogens, esterified	DCC0101/DCC1824
DC007226	Chlorhexidine gluconate; Isopropyl alcohol	DCC0224/DCC1833
DC007227	Chlorothiazide; Reserpine	DCC1814/DCC1852
DC007228	Chlorpheniramine maleate; Hydrocodone bitartrate; Pseudoephedrine hydrochloride	DCC0214/DCC0243/DCC0298
DC007229	Chlorpheniramine maleate; Ibuprofen; Phenylephrine hydrochloride	DCC0075/DCC0282/DCC0298
DC007230	Chlorpheniramine maleate; Phenylpropanolamine hydrochloride	DCC0298/DCC1845
DC007231	Chlorpheniramine polistirex; Codeine	DCC0051/DCC0298
DC007232	Chlorthalidone; Clonidine hydrochloride	DCC0047/DCC0136
DC007233	Chlorthalidone; Metoprolol tartrate	DCC0036/DCC0047
DC007234	Chlorthalidone; Reserpine	DCC0047/DCC1852
DC006865	Bevacizumab; Docetaxel; Trastuzumab	DCC0008/DCC0012/DCC0329
DC006882	Goserelin acetate; Tamoxifen	DCC0168/DCC1116
DC006888	Abatacept; Methotrexate	DCC0131/DCC1564
DC006898	Docetaxel; Vinorelbine	DCC0067/DCC0329
DC006904	Amoxicillin; Cefotaxime; Ceftriaxone; Netilmicin; Tobramycin	DCC0172/DCC0285/DCC0319/DCC1297/DCC1453
DC006920	Aspirin; Dexamethasone; Pomalidomide	DCC0240/DCC0325/DCC1745
DC006957	Balapiravir; Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203/DCC0897
DC006970	Insulin; Saxagliptin	DCC1124/DCC1680
DC007000	Aldesleukin; Sorafenib	DCC0006/DCC0079
DC007005	Cyclophosphamide; Pemetrexed	DCC0123/DCC0158
DC007006	Aspirin; Atorvastatin	DCC0240/DCC0290
DC007011	Docetaxel; Epirubicin	DCC0096/DCC0329
DC007013	Fludrocortisone; Hydrocortisone; Insulin	DCC0184/DCC1124/DCC1354
DC007018	Leflunomide; Methotrexate; Ocrelizumab	DCC0131/DCC0868/DCC1495
DC007020	Amlodipine; Irbesartan	DCC0073/DCC0270
DC007023	Artesunate; Chloroquine; Pyrimethamine; Sulfadoxine	DCC0023/DCC0339/DCC0464/DCC1333
DC007029	Didanosine; Lamivudine; Nevirapine	DCC0030/DCC0179/DCC0228
DC007031	Bedaquiline; PA-824	DCC0407/DCC1740
DC007044	Bevacizumab; Enzastaurin; Fluorouracil; Leucovorin	DCC0012/DCC0128/DCC0162/DCC0634
DC007046	Docetaxel; Epirubicin; Trastuzumab; Zoledronate	DCC0008/DCC0080/DCC0096/DCC0329
DC007050	Interferon alfa-2a; Temsirolimus	DCC1127/DCC1678
DC007060	Docetaxel; Gemcitabine	DCC0094/DCC0329
DC007061	Aldesleukin; Isotretinoin; Sargramostim	DCC0006/DCC1121/DCC1461
DC007062	Aspirin; Heparin	DCC0240/DCC0296
DC007089	Ethambutol; Isoniazid	DCC0056/DCC0242
DC007146	Bevacizumab; Temsirolimus	DCC0012/DCC1678
DC007150	Morphine sulfate; Naltrexone hydrochloride	DCC0043/DCC0177
DC007151	Amphetamine; Dextroamphetamine	DCC1194/DCC1593
DC007152	Amlodipine; Hydrochlorothiazide; Valsartan	DCC0014/DCC0073/DCC0260
DC007153	Amoxicillin; Clarithromycin; Omeprazole	DCC0061/DCC0285/DCC0318
DC007154	Atorvastatin calcium; Ezetimibe	DCC0250/DCC0290/DCC1577
DC007155	Estradiol; Norethindrone acetate	DCC0180/DCC0194
DC007156	Metformin hydrochloride; Saxagliptin hydrochloride	DCC0057/DCC1680
DC007157	Cobicistat; Elvitegravir; Emtricitabine; Tenofovir disoproxil fumarate	DCC0045/DCC0225/DCC0494/DCC0903
DC007158	Aliskiren hemifumarate; Amlodipine besylate	DCC0073/DCC0331
DC007159	Ethinyl estradiol; Norelgestromin	DCC0252/DCC1699
DC007160	Aliskiren hemifumarate; Valsartan	DCC0014/DCC0331
DC007161	Aliskiren hemifumarate; Amlodipine besylate; Hydrochlorothiazide	DCC0073/DCC0260/DCC0331
DC007162	Chloroquine phosphate; Primaquine phosphate	DCC1333/DCC1493
DC007163	Hydrochlorothiazide; moexipril hydrochloride	DCC0260/DCC1355
DC007164	Alogliptin benzoate; Metformin hydrochloride	DCC0057/DCC0371
DC007165	Formoterol fumarate; Mometasone furoate	DCC0255/DCC1393
DC007166	Azilsartan medoxomil; Chlorthalidone	DCC0047/DCC1722
DC007167	Amlodipine besylate; Hydrochlorothiazide; Olmesartan medoxomil	DCC0038/DCC0073/DCC0260
DC007168	Alendronate sodium; Cholecalciferol	DCC0887/DCC1336
DC007169	Dutasteride; Tamsulosin hydrochloride	DCC1361/DCC1507
DC007170	Ampicillin sodium; Sulbactam sodium	DCC0083/DCC0893
DC007171	Desogestrel; Ethinyl estradiol	DCC0252/DCC1241
DC007172	Doxylamine succinate; pyridoxine hydrochloride	DCC1188/DCC1258
DC007173	Linagliptin; Metformin hydrochloride	DCC0057/DCC0885
DC007174	Ethinyl estradiol; Norgestrel	DCC0252/DCC1301
DC007175	Brimonidine tartrate; Brinzolamide	DCC0106/DCC0314
DC007176	Dextromethorphan hydrobromide; Quinidine sulfate	DCC0116/DCC0232
DC007177	Bupivacaine hydrochloride; Lidocaine hydrochloride	DCC0040/DCC0044
DC007178	Drospirenone; Ethinyl estradiol; Levomefolate calcium	DCC0252/DCC0343/DCC0608
DC007179	Ethinyl estradiol; Levonorgestrel	DCC0070/DCC0252
DC007180	Dienogest; Estradiol valerate	DCC0881/DCC1097
DC007181	Dexamethasone sodium phosphate; Lidocaine hydrochloride	DCC0040/DCC0325
DC007182	Phentermine hydrochloride; Topiramate	DCC0037/DCC1199
DC007183	Fluticasone furoate; Vilanterol trifenatate	DCC0797/DCC1742
DC007185	Bazedoxifene acetate; Estrogens, conjugated	DCC0552/DCC0665
DC007186	Emtricitabine; Rilpivirine hydrochloride; Tenofovir disoproxil fumarate	DCC0045/DCC0225/DCC1727
DC007187	Famotidine; Ibuprofen	DCC0237/DCC0282
DC007188	Acetylcysteine; Isoproterenol hydrochloride	DCC1486/DCC1662
DC007189	Acyclovir; Hydrocortisone	DCC0184/DCC0195
DC007191	Aluminum hydroxide; Magnesium trisilicate	DCC1704/DCC1834
DC007193	Ampicillin; Probenecid	DCC0083/DCC0272
DC007195	Aspirin; Butalbital	DCC0031/DCC0240
DC007196	Aspirin; Caffeine; Propoxyphene hydrochloride	DCC0021/DCC0160/DCC0240
DC007197	Aspirin; Hydrocodone bitartrate	DCC0240/DCC0243
DC007198	Aspirin; Pentazocine hydrochloride	DCC0163/DCC0240
DC007199	Aspirin; Pravastatin sodium	DCC0240/DCC1191
DC007312	Polythiazide; Prazosin hydrochloride	DCC1285/DCC1846
DC007313	Polythiazide; Reserpine	DCC1846/DCC1852
DC007314	Procaine hydrochloride; Tetracycline hydrochloride	DCC0187/DCC1370
DC007315	Procaine merethoxylline; Theophylline	DCC0039/DCC1370
DC007316	Quinethazone; Reserpine	DCC1850/DCC1852
DC007317	Reserpine; Trichlormethiazide	DCC1852/DCC1856
DC007318	Simvastatin; Sitagliptin phosphate	DCC0157/DCC0333
DC007319	Sulfadiazine; Sulfamerazine	DCC1256/DCC1854
DC007320	Sulfabenzamide; Sulfacetamide; Sulfathiazole	DCC0155/DCC1853/DCC1861
DC007321	Sulfadiazine; Sulfamerazine; Sulfamethazine	DCC1256/DCC1854/DCC1855
DC007322	Umeclidinium bromide; Vilanterol trifenatate	DCC0797/DCC1859
DC007235	Clioquinol; Nystatin	DCC0159/DCC0368
DC007236	Dalfopristin; Quinupristin	DCC1815/DCC1851
DC007237	Deserpidine; Hydrochlorothiazide	DCC0260/DCC1816
DC007238	Deserpidine; Methyclothiazide	DCC1816/DCC1838
DC007239	Dexamethasone sodium phosphate; Neomycin sulfate	DCC0257/DCC0325
DC007240	Dexamethasone; Neomycin sulfate; Polymyxin b sulfate	DCC0193/DCC0257/DCC0325
DC007242	Dihydroergotamine mesylate; Heparin sodium; Lidocaine hydrochloride	DCC0040/DCC0296/DCC1820
DC007243	Diltiazem malate; Enalapril maleate	DCC0064/DCC0137
DC007245	Diphenhydramine hydrochloride; Naproxen sodium	DCC0196/DCC0289
DC007246	Diphenhydramine hydrochloride; Pseudoephedrine hydrochloride	DCC0214/DCC0289
DC007247	Droperidol; Fentanyl citrate	DCC0204/DCC1282
DC007248	Epinephrine; Etidocaine hydrochloride	DCC0166/DCC1825
DC007249	Epinephrine; Procaine hydrochloride	DCC0166/DCC1370
DC007250	Esomeprazole magnesium; Naproxen	DCC0196/DCC1377
DC007251	Estradiol cypionate; Medroxyprogesterone acetate	DCC0908/DCC1823
DC007252	Estradiol cypionate; Testosterone cypionate	DCC0836/DCC1823
DC007253	Estradiol valerate; Testosterone enanthate	DCC0836/DCC1097
DC007254	Estrogens, conjugated; Medroxyprogesterone acetate	DCC0552/DCC0908
DC007255	Estrogens, conjugated; Meprobamate	DCC0071/DCC0552
DC007256	Ethinyl estradiol; Ferrous fumarate; Norethindrone	DCC0180/DCC0252/DCC1826
DC007258	Ethinyl estradiol; Norgestimate	DCC0244/DCC0252
DC007259	Ethynodiol diacetate; Mestranol	DCC0207/DCC0340
DC007260	Ferrous sulfate; Folic acid	DCC0587/DCC1183
DC007261	Fluocinolone acetonide; Neomycin sulfate	DCC0140/DCC0257
DC007262	Fluorometholone acetate; Tobramycin	DCC0172/DCC1246
DC007263	Fluorometholone; Sulfacetamide sodium	DCC0155/DCC1246
DC007265	Flurandrenolide; Neomycin sulfate	DCC0257/DCC1828
DC007266	Guanethidine monosulfate; Hydrochlorothiazide	DCC0260/DCC1829
DC007267	Hydralazine hydrochloride; Hydrochlorothiazide	DCC0260/DCC0337
DC007268	Hydralazine hydrochloride; Hydrochlorothiazide; Reserpine	DCC0260/DCC0337/DCC1852
DC007270	Hydralazine hydrochloride; Reserpine	DCC0337/DCC1852
DC007271	Hydrochlorothiazide; Labetalol hydrochloride	DCC0260/DCC1328
DC007272	Hydrochlorothiazide; Pindolol	DCC0260/DCC1455
DC007273	Hydrochlorothiazide; Reserpine	DCC0260/DCC1852
DC007274	Hydrochlorothiazide; Timolol maleate	DCC0072/DCC0260
DC007275	Hydrocodone bitartrate; Phenylpropanolamine hydrochloride	DCC0243/DCC1845
DC007276	Hydrocodone bitartrate; Pseudoephedrine hydrochloride	DCC0214/DCC0243
DC007277	Hydrocortisone acetate; Neomycin sulfate	DCC0184/DCC0257
DC007281	Hydrocortisone acetate; Urea	DCC0184/DCC1860
DC007283	Hydrocortisone; Polymyxin b sulfate	DCC0184/DCC0193
DC007284	Hydrocortisone; Tetracycline hydrochloride	DCC0184/DCC0187
DC007285	Hydroflumethiazide; Reserpine	DCC1830/DCC1852
DC007286	Hydroxyamphetamine hydrobromide; Tropicamide	DCC0202/DCC1831
DC007287	Ibuprofen; Phenylephrine hydrochloride	DCC0075/DCC0282
DC007288	Isoproterenol hydrochloride; Phenylephrine bitartrate	DCC0075/DCC1486
DC007290	Leuprolide acetate; Norethindrone acetate	DCC0180/DCC1112
DC007291	Levonordefrin; Procaine hydrochloride; Propoxycaine hydrochloride	DCC0373/DCC1370/DCC1847
DC007292	Lidocaine hydrochloride; Oxytetracycline	DCC0040/DCC0143
DC007293	Loperamide hydrochloride; Simethicone	DCC0211/DCC0959
DC007294	Mannitol; Sorbitol	DCC0794/DCC1381
DC007296	Meperidine hydrochloride; Promethazine hydrochloride	DCC0287/DCC1284
DC007297	Mequinol; Tretinoin	DCC0186/DCC1836
DC007298	Mestranol; Norethynodrel	DCC0340/DCC1841
DC007299	Methyclothiazide; Pargyline hydrochloride	DCC1838/DCC1842
DC007300	Methyclothiazide; Reserpine	DCC1838/DCC1852
DC007301	Methylprednisolone; Neomycin sulfate	DCC0257/DCC1454
DC007302	Neomycin sulfate; Prednisolone acetate	DCC0216/DCC0257
DC007303	Neomycin sulfate; Triamcinolone acetonide	DCC0149/DCC0257
DC007304	Niacinamide; Pyridoxine hydrochloride; Tyrosine	DCC1188/DCC1615/DCC1858
DC007307	Phenazopyridine hydrochloride; Sulfamethoxazole	DCC0266/DCC1844
DC007308	Phenazopyridine hydrochloride; Sulfamethoxazole; Trimethoprim	DCC0093/DCC0266/DCC1844
DC007309	Phenazopyridine hydrochloride; Sulfisoxazole	DCC0035/DCC1844
DC007310	Phenylephrine hydrochloride; Pyrilamine maleate	DCC0075/DCC1849
DC007311	Piperonyl butoxide; Pyrethrins	DCC0799/DCC1848
